detail,time
"
    	Match ends, Napoli 2, Roma 4.
    	
    ",90'+4'
"
    	Second Half ends, Napoli 2, Roma 4.
    	
    ",90'+4'
"
    	Attempt missed. Dries Mertens (Napoli) right footed shot from outside the box is too high. Assisted by Lorenzo Insigne.
    	
    ",90'+3'
"
    	Goal!  Napoli 2, Roma 4. Dries Mertens (Napoli) right footed shot from outside the box to the bottom left corner. Assisted by Lorenzo Insigne.
    	
    ",90'+2'
"
    	Foul by Arkadiusz Milik (Napoli).
    	
    ",89'
"
    	Federico Fazio (Roma) wins a free kick in the defensive half.
    	
    ",89'
"
    	Substitution, Roma. Stephan El Shaarawy replaces Daniele De Rossi because of an injury.
    	
    ",88'
"
    	Edin Dzeko (Roma) is shown the yellow card for a bad foul.
    	
    ",86'
"
    	Foul by Edin Dzeko (Roma).
    	
    ",86'
"
    	Dries Mertens (Napoli) wins a free kick in the attacking half.
    	
    ",86'
"
    	Corner,  Napoli. Conceded by Kostas Manolas.
    	
    ",85'
"
    	Foul by Arkadiusz Milik (Napoli).
    	
    ",84'
"
    	Edin Dzeko (Roma) wins a free kick in the defensive half.
    	
    ",84'
"
    	Attempt missed. José Callejón (Napoli) right footed shot from the centre of the box misses to the left following a set piece situation.
    	
    ",84'
"
    	Attempt blocked. Dries Mertens (Napoli) right footed shot from the centre of the box is blocked. Assisted by Lorenzo Insigne.
    	
    ",84'
"
    	Back pass by Alisson (Roma).
    	
    ",82'
"
    	(Napoli) wins a free kick in the attacking half.
    	
    ",82'
"
    	Substitution, Roma. Lorenzo Pellegrini replaces Diego Perotti.
    	
    ",80'
"
    	Goal!  Napoli 1, Roma 4. Diego Perotti (Roma) right footed shot from the centre of the box to the bottom right corner.
    	
    ",79'
"
    	Attempt missed. Aleksandar Kolarov (Roma) left footed shot from more than 40 yards on the left wing misses to the right.
    	
    ",78'
"
    	Mário Rui (Napoli) wins a free kick in the defensive half.
    	
    ",77'
"
    	Foul by Gerson (Roma).
    	
    ",77'
"
    	Corner,  Napoli. Conceded by Alisson.
    	
    ",76'
"
    	Attempt saved. Lorenzo Insigne (Napoli) left footed shot from the left side of the six yard box is saved in the centre of the goal.
    	
    ",76'
"
    	Attempt saved. Lorenzo Insigne (Napoli) right footed shot from the left side of the box is saved in the bottom left corner. Assisted by Kalidou Koulibaly.
    	
    ",76'
"
    	Mário Rui (Napoli) wins a free kick in the defensive half.
    	
    ",75'
"
    	Foul by Gerson (Roma).
    	
    ",75'
"
    	Substitution, Napoli. Arkadiusz Milik replaces Jorginho.
    	
    ",75'
